population,x,y
89,89.65,-84.81
43,89.64,-83.89
135,89.64,-82.96
197,89.63,-82.04
15,89.63,-81.11
15,89.62,-80.19
64,97.61,-95.93
827,98.74,-95.93
319,99.87,-95.93
3,95.35,-95.0
544,96.48,-95.0
1148,97.61,-95.0
1934,98.74,-95.0
6294,99.86,-95.0
1326,100.99,-95.0
15,95.34,-94.07
268,96.47,-94.07
61,97.6,-94.07
110,98.73,-94.07
2200,99.86,-94.07
3066,100.99,-94.07
131,95.34,-93.15
134,98.73,-93.15
1659,99.85,-93.15
1196,100.98,-93.15
1,102.12,-95.0
448,103.25,-95.0
10,104.38,-95.0
3288,102.12,-94.07
1771,103.25,-94.07
1760,102.11,-93.15
800,103.24,-93.15
31,145.06,-95.93
1371,146.19,-95.93
4100,146.18,-95.0
64,145.05,-94.07
1832,146.17,-94.07
528,146.17,-93.15
401,147.32,-95.93
11,148.45,-95.93
3405,147.31,-95.0
175,148.44,-95.0
220,149.57,-95.0
730,150.7,-95.0
181,151.83,-95.0
2857,147.3,-94.07
231,148.43,-94.07
53,149.56,-94.07
540,150.69,-94.07
9,151.82,-94.07
1287,147.3,-93.15
977,148.43,-93.15
795,149.56,-93.15
22,150.69,-93.15
9,100.98,-92.22
135,91.93,-90.37
210,93.06,-90.37
11,94.19,-90.37
18,93.06,-89.44
52,91.92,-88.52
310,93.05,-88.52
2,94.18,-88.52
6,95.31,-88.52
9,100.96,-88.52
56,90.79,-87.59
40,91.92,-87.59
55,93.05,-87.59
23,95.31,-87.59
51,96.44,-87.59
4,90.78,-86.67
50,94.17,-86.67
99,97.56,-86.67
31,98.69,-86.67
65,94.17,-85.74
8,95.3,-85.74
462,98.68,-85.74
1278,99.81,-85.74
35,100.94,-85.74
21,90.78,-84.81
113,94.16,-84.81
147,95.29,-84.81
212,96.42,-84.81
133,97.55,-84.81
51,98.68,-84.81
92,99.81,-84.81
965,100.94,-84.81
26,90.77,-83.89
96,93.03,-83.89
523,94.16,-83.89
706,95.29,-83.89
22,96.42,-83.89
635,100.93,-83.89
606,102.11,-92.22
143,103.24,-92.22
3,102.1,-91.3
179,102.1,-90.37
40,103.23,-90.37
147,102.09,-89.44
330,102.09,-88.52
134,103.22,-88.52
17,102.08,-87.59
243,103.21,-87.59
5,102.08,-86.67
86,103.21,-86.67
4,102.07,-85.74
150,103.2,-85.74
9,102.07,-84.81
1405,103.19,-84.81
1767,102.06,-83.89
4792,103.19,-83.89
4693,104.32,-83.89
173,105.45,-83.89
388,146.16,-92.22
282,146.15,-91.3
958,146.14,-90.37
769,145.01,-89.44
696,146.14,-89.44
1351,145.0,-88.52
3499,146.13,-88.52
340,144.99,-87.59
354,146.12,-87.59
478,144.98,-86.67
502,146.11,-86.67
1235,144.98,-85.74
2683,146.11,-85.74
73,143.84,-84.81
2989,144.97,-84.81
680,146.1,-84.81
752,143.83,-83.89
52,144.96,-83.89
382,147.29,-92.22
943,148.42,-92.22
422,149.55,-92.22
1673,147.28,-91.3
2441,148.41,-91.3
1905,149.54,-91.3
1459,147.27,-90.37
1877,148.4,-90.37
4568,149.53,-90.37
1402,147.27,-89.44
299,148.4,-89.44
1815,149.52,-89.44
3420,150.65,-89.44
1122,147.26,-88.52
803,148.39,-88.52
263,149.52,-88.52
6254,150.65,-88.52
3864,151.78,-88.52
2225,147.25,-87.59
840,148.38,-87.59
267,149.51,-87.59
212,150.64,-87.59
7065,151.77,-87.59
5860,152.9,-87.59
768,154.03,-87.59
3814,147.24,-86.67
6021,148.37,-86.67
43,149.5,-86.67
200,150.63,-86.67
3503,151.76,-86.67
6023,152.89,-86.67
1860,154.02,-86.67
1292,155.15,-86.67
2158,147.24,-85.74
2565,148.36,-85.74
3556,149.49,-85.74
4794,150.62,-85.74
5724,151.75,-85.74
8634,152.88,-85.74
7393,154.01,-85.74
3372,155.14,-85.74
265,156.27,-85.74
55,147.23,-84.81
23,148.36,-84.81
1793,149.49,-84.81
5764,150.61,-84.81
3720,151.74,-84.81
3763,152.87,-84.81
8270,154.0,-84.81
4614,155.13,-84.81
982,156.26,-84.81
877,149.48,-83.89
5348,150.61,-83.89
5943,151.74,-83.89
7926,152.87,-83.89
6697,153.99,-83.89
5690,155.12,-83.89
5735,156.25,-83.89
22,157.38,-83.89
17,90.77,-82.96
29,93.02,-82.96
947,94.15,-82.96
720,95.28,-82.96
14,100.93,-82.96
320,90.76,-82.04
335,91.89,-82.04
14,93.02,-82.04
40,94.15,-82.04
36,95.28,-82.04
94,100.92,-82.04
1986,90.76,-81.11
318,91.89,-81.11
4,94.14,-81.11
11,97.53,-81.11
21,98.66,-81.11
49,99.79,-81.11
269,100.92,-81.11
250,90.75,-80.19
14,91.88,-80.19
307,100.91,-80.19
13,98.65,-79.26
223,99.78,-79.26
241,100.91,-79.26
11,98.64,-78.33
614,99.77,-78.33
1230,100.9,-78.33
105,99.77,-77.41
2767,100.89,-77.41
25,92.99,-76.48
4,94.12,-76.48
38,97.5,-76.48
617,98.63,-76.48
2203,99.76,-76.48
5000,100.89,-76.48
13,92.99,-75.56
3,95.24,-75.56
2184,98.63,-75.56
4811,99.76,-75.56
2852,100.88,-75.56
376,95.24,-74.63
153,96.37,-74.63
348,97.49,-74.63
1262,98.62,-74.63
3131,99.75,-74.63
4146,100.88,-74.63
291,102.06,-82.96
1526,103.18,-82.96
6439,104.31,-82.96
5422,105.44,-82.96
196,106.57,-82.96
21,102.05,-82.04
2336,103.18,-82.04
7514,104.31,-82.04
7389,105.44,-82.04
2081,106.57,-82.04
1000,107.69,-82.04
1784,102.04,-81.11
5353,103.17,-81.11
6330,104.3,-81.11
1340,105.43,-81.11
7787,106.56,-81.11
5689,107.69,-81.11
288,108.82,-81.11
143,102.04,-80.19
1971,103.17,-80.19
4040,104.3,-80.19
5956,105.43,-80.19
7749,106.55,-80.19
4236,107.68,-80.19
4270,108.81,-80.19
1273,109.94,-80.19
3118,102.03,-79.26
5443,103.16,-79.26
5006,104.29,-79.26
3487,105.42,-79.26
6766,106.55,-79.26
3518,107.68,-79.26
2843,108.81,-79.26
